variable,auc,mutual_info,mw_effect,mw_pvalue,boruta,rank_auc,rank_mutual_info,rank_boruta,rank_mw_pvalue,mean_rank,overall_rank
V11,0.5572462789542671,0.029784699557745098,0.1144925579085343,2.37592090069517e-12,1,5.0,1.0,14.0,5.0,5.000000000000594,1
V176,0.5540393250660495,0.01804106678523154,0.10807865013209894,3.6482886996948956e-11,1,8.0,7.0,14.0,8.0,7.250000000009121,2
V255,0.5499509108689864,0.01725759202129895,0.0999018217379728,9.5335399326272e-10,1,12.0,8.0,14.0,12.0,8.500000000238337,3
V313,0.5427174642103755,0.01898658541896392,0.08543492842075073,1.6839845733172466e-07,1,16.0,4.0,14.0,16.0,8.500000042099614,4
V191,0.5457413738812542,0.01657696161169775,0.09148274776250842,2.124721185221723e-08,1,14.0,11.0,14.0,14.0,9.750000005311803,5
V265,0.5527733758985807,0.01591133056116445,0.10554675179716133,1.0287048352371259e-10,1,10.0,16.0,14.0,10.0,10.000000000025718,6
V224,0.5622804749421426,0.011722337718779618,0.12456094988428523,2.4043110794655467e-14,1,1.0,38.0,14.0,1.0,13.250000000000005,7
V5,0.5252018606508694,0.017163218695425364,0.05040372130173876,0.0020270459639825426,4,20.0,9.0,30.0,20.0,14.750506761490996,8
V443,0.534489754643947,0.016296892027559684,0.06897950928789398,2.403836516955209e-05,2,18.0,14.0,28.0,18.0,15.000006009591292,9
V161,0.5616598206422676,0.010237717109210065,0.12331964128453521,4.322179671569792e-14,1,2.0,51.0,14.0,2.0,16.75000000000001,10
V60,0.5446037476703464,0.011442211936067315,0.08920749534069272,4.7023804527170994e-08,1,15.0,39.0,14.0,15.0,17.00000001175595,11
V464,0.5245376853482704,0.01249429004663738,0.04907537069654089,0.0026566352129956477,7,21.0,32.0,33.0,21.0,21.500664158803247,12
V309,0.5534506715034715,0.009498299646727437,0.10690134300694298,5.925158343429652e-11,1,9.0,64.0,14.0,9.0,21.75000000001481,13
V377,0.5158683656071436,0.013432288735255371,0.031736731214287106,0.05198556884463604,3,40.0,23.0,29.0,40.0,23.012996392211157,14
V345,0.5479126239068548,0.009262446186979911,0.0958252478137096,4.426291795270441e-09,1,13.0,68.0,14.0,13.0,23.750000001106574,15
V390,0.5552067119626436,0.008510963031375551,0.11041342392528719,1.3736471788067971e-11,1,7.0,76.0,14.0,7.0,24.250000000003435,16
V199,0.5517458322239744,0.008195099906711967,0.10349166444794888,2.3452895861735224e-10,1,11.0,79.0,14.0,11.0,26.000000000058634,17
V175,0.5583612646435374,0.006394420051091032,0.11672252928707483,8.871493291303503e-13,1,3.5,109.5,14.0,3.5,31.75000000000022,18
V32,0.5583612646435374,0.006394420051091032,0.11672252928707483,8.871493291303503e-13,1,3.5,109.5,14.0,3.5,31.75000000000022,19
V46,0.5288441845700125,0.006763158124462487,0.05768836914002495,0.0004119885032685348,1,19.0,96.0,14.0,19.0,32.25010299712582,20
V394,0.5155889991705409,0.010213451134946983,0.031177998341081814,0.05625670103459349,24,43.0,54.0,50.0,43.0,36.76406417525865,21
V256,0.5160426096217258,0.009380210074322104,0.03208521924345131,0.0494615595223424,20,39.0,65.0,46.0,39.0,37.512365389880586,22
V477,0.5135686326212956,0.01252863760224665,0.02713726524259119,0.09658778225241141,37,64.0,31.0,63.0,64.0,39.5241469455631,23
V221,0.5143225699920126,0.011333852069581818,0.028645139984025292,0.07943842043292282,54,56.0,41.0,80.5,56.0,44.39485960510823,24
V416,0.5085222763532471,0.018163217106782037,0.01704455270649441,0.2966496454391987,1,166.5,5.5,14.0,166.5,46.5741624113598,25
V160,0.5085222763532471,0.018163217106782037,0.01704455270649441,0.2966496454391987,1,166.5,5.5,14.0,166.5,46.5741624113598,26
V356,0.5121754805230713,0.010772585015342617,0.02435096104614254,0.1359563859343514,32,85.0,48.0,58.0,85.0,47.78398909648359,27
V212,0.5177000878100231,0.00612069211206423,0.03540017562004627,0.030191611984307216,21,32.0,113.0,47.5,32.0,48.13254790299608,28
V55,0.5177132081123149,0.0042356009905955005,0.03542641622462983,0.03006946255880668,8,31.0,145.0,34.0,31.0,52.5075173656397,29
V94,0.5127337333852171,0.015342095382856247,0.025467466770434433,0.11890562289383456,87,79.0,18.0,113.0,79.0,52.52972640572346,30
V306,0.5113095405718148,0.01557867431390103,0.022619081143629538,0.1660598874790047,74,94.0,17.0,100.0,94.0,52.79151497186975,31
V6,0.5217641814467405,0.005705650127904471,0.043528362893481054,0.00769288797210512,49,23.0,121.0,75.5,23.0,54.876923221993025,32
V262,0.5091218101665063,0.00951195830366558,0.018243620333012522,0.26396676883933545,1,146.0,63.0,14.0,146.0,55.815991692209835,33
V366,0.5105727235955517,0.008688324614580578,0.021145447191103228,0.19540837824544022,16,107.0,74.0,42.5,107.0,55.92385209456136,34
V329,0.5553539153542097,0.0018477696936638477,0.1107078307084195,1.2127338990571483e-11,1,6.0,204.0,14.0,6.0,56.000000000003034,35
V380,0.5074508916685441,0.017061158075342142,0.014901783337088137,0.36153588670421777,1,211.0,10.0,14.0,211.0,58.840383971676054,36
V34,0.5134231892702807,0.013453222216978089,0.02684637854056149,0.1002144406973521,124,66.0,22.0,150.0,66.0,59.52505361017434,37
V3,0.5215772171390829,0.003617304829412138,0.04315443427816579,0.00823295375436646,27,25.0,162.0,53.0,25.0,60.00205823843859,38
V444,0.5151016279415077,0.004013055304427526,0.030203255883015534,0.06440614978631296,14,51.0,153.0,40.0,51.0,61.01610153744658,39
V449,0.511918034591517,0.007397923675650286,0.023836069183033937,0.1444296262178428,47,87.0,90.0,73.5,87.0,62.661107406554464,40
V393,0.5217334607389355,0.0023165073958517635,0.0434669214778709,0.007779388228003513,16,24.0,189.0,42.5,24.0,63.876944847057004,41
V78,0.5172258368832818,0.0018104373040479516,0.03445167376656366,0.03490228283296471,5,34.0,207.0,31.0,34.0,68.00872557070824,42
V213,0.5162716548989288,0.0018935067896468372,0.03254330979785769,0.04630084053819037,13,38.0,202.0,39.0,38.0,69.76157521013454,43
