rank,model,n_vars,features,mean_val_score,std_val_score,penalised_score,mean_contacts,mean_precision
6,SVM_RBF,6,"['V255', 'V191', 'V176', 'V380', 'V160', 'V416']",4092.0,102.98543586352393,3989.014564136476,997.65,0.6869711647521317
1,ExtraTrees,6,"['V255', 'V191', 'V176', 'V380', 'V160', 'V416']",4046.75,132.51674422502236,3914.233255774978,994.25,0.6851300820807338
3,GradientBoosting,6,"['V255', 'V191', 'V176', 'V380', 'V160', 'V416']",3989.0,149.42891286494725,3839.571087135053,996.8,0.6803727110265825
9,RandomForest,6,"['V255', 'V191', 'V176', 'V380', 'V160', 'V416']",3920.0,126.84636376341263,3793.1536362365873,996.8,0.675761437979761
10,LightGBM,6,"['V255', 'V191', 'V176', 'V380', 'V160', 'V416']",3900.75,139.25942517474357,3761.4905748252563,995.85,0.6748329427424123
7,SVM_RBF,6,"['V191', 'V176', 'V380', 'V160', 'V416', 'V224']",3812.5,98.8243391073272,3713.6756608926726,995.35,0.6691047895653144
5,XGBoost,6,"['V255', 'V191', 'V176', 'V380', 'V160', 'V416']",3832.75,134.12191282560804,3698.628087174392,996.7,0.6699594357632914
13,SVM_RBF,6,"[np.str_('V255'), np.str_('V176'), np.str_('V160'), np.str_('V224'), np.str_('V390'), np.str_('V175')]",3739.5,109.78273999131193,3629.717260008688,996.45,0.6638043764403042
0,ExtraTrees,6,"['V191', 'V176', 'V380', 'V160', 'V416', 'V224']",3768.0,147.03230937450448,3620.9676906254954,992.85,0.6669180043815411
2,XGBoost,6,"['V191', 'V176', 'V380', 'V160', 'V416', 'V224']",3746.75,156.9257388066088,3589.824261193391,996.65,0.6642328013059408
4,GradientBoosting,6,"['V191', 'V176', 'V380', 'V160', 'V416', 'V224']",3745.0,166.9281282468596,3578.0718717531404,996.55,0.6641388436056553
8,RandomForest,6,"['V191', 'V176', 'V380', 'V160', 'V416', 'V224']",3730.0,160.97360032005247,3569.0263996799476,997.6,0.6627809817342022
15,GradientBoosting,6,"[np.str_('V255'), np.str_('V176'), np.str_('V160'), np.str_('V224'), np.str_('V390'), np.str_('V175')]",3729.0,171.30820178847247,3557.6917982115274,995.7,0.6633560314543058
14,XGBoost,6,"[np.str_('V255'), np.str_('V176'), np.str_('V160'), np.str_('V224'), np.str_('V390'), np.str_('V175')]",3691.75,155.74237541529922,3536.007624584701,997.0,0.6604585814631008
11,LightGBM,6,"['V191', 'V176', 'V380', 'V160', 'V416', 'V224']",3712.25,185.88622192082983,3526.36377807917,998.6,0.661280234876389
16,LightGBM,6,"[np.str_('V255'), np.str_('V176'), np.str_('V160'), np.str_('V224'), np.str_('V390'), np.str_('V175')]",3574.0,156.4416824251133,3417.5583175748866,996.4,0.6527396696248283
18,XGBoost,6,"['V176', 'V380', 'V160', 'V416', 'V224', 'V377']",3579.25,175.5866951109907,3403.6633048890094,997.45,0.652751059747622
19,RandomForest,6,"['V176', 'V380', 'V160', 'V416', 'V224', 'V377']",3553.0,170.26743669885911,3382.732563301141,997.6,0.65096405587677
17,ExtraTrees,6,"['V176', 'V380', 'V160', 'V416', 'V224', 'V377']",3540.0,166.56830430787244,3373.4316956921275,997.05,0.6502787719831764
12,ExtraTrees,6,"[np.str_('V255'), np.str_('V176'), np.str_('V160'), np.str_('V416'), np.str_('V262'), np.str_('V175')]",3369.5,164.44527965253366,3205.054720347466,994.1,0.639802128966608
