k,kind,model,cv_score,features,best_params,accuracy,balanced_accuracy,precision
3,top,ExtraTrees,570.0,"['V255', 'V191', 'V176']","{'clf__max_depth': 4, 'clf__min_samples_leaf': 9, 'clf__n_estimators': 403}",0.6076666666666667,0.6070645216347892,0.6427532423840422
3,top+2,RandomForest,560.0,"['V176', 'V380', 'V160']","{'clf__max_depth': 5, 'clf__min_samples_leaf': 9, 'clf__n_estimators': 367}",0.6,0.5995223152897369,0.6236387520525452
3,top+2,GradientBoosting,550.0,"['V176', 'V380', 'V160']","{'clf__learning_rate': np.float64(0.018618814067432626), 'clf__max_depth': 2, 'clf__n_estimators': 164, 'clf__subsample': np.float64(0.8804927450629726)}",0.6023333333333333,0.6018977334981154,0.6234165701176213
3,top+1,ExtraTrees,550.0,"['V191', 'V176', 'V380']","{'clf__max_depth': 4, 'clf__min_samples_leaf': 9, 'clf__n_estimators': 403}",0.6086666666666666,0.6079978293395856,0.6500544730289198
3,top,SVM_RBF,550.0,"['V255', 'V191', 'V176']","{'clf__C': np.float64(0.41924993150460804), 'clf__gamma': np.float64(0.21971482785470117)}",0.608,0.6075811637532151,0.6284881226868542
3,rand_2,SVM_RBF,540.0,"[np.str_('V176'), np.str_('V416'), np.str_('V224')]","{'clf__C': np.float64(0.41924993150460804), 'clf__gamma': np.float64(0.21971482785470117)}",0.6003333333333333,0.5999737431157238,0.6159907648095743
3,top,XGBoost,535.0,"['V255', 'V191', 'V176']","{'clf__colsample_bytree': np.float64(0.7655331788949136), 'clf__learning_rate': np.float64(0.02651034264899119), 'clf__max_depth': 5, 'clf__n_estimators': 238, 'clf__subsample': np.float64(0.8612364919499478)}",0.6036666666666667,0.6033917255475082,0.6153224076245271
3,top+1,RandomForest,530.0,"['V191', 'V176', 'V380']","{'clf__max_depth': 4, 'clf__min_samples_leaf': 9, 'clf__n_estimators': 403}",0.6,0.5994296922493921,0.629241166436584
3,rand_2,ExtraTrees,530.0,"[np.str_('V176'), np.str_('V416'), np.str_('V224')]","{'clf__max_depth': 8, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 323}",0.5983333333333333,0.597896336382437,0.6187584232118973
3,top,GradientBoosting,530.0,"['V255', 'V191', 'V176']","{'clf__learning_rate': np.float64(0.05501111167975336), 'clf__max_depth': 3, 'clf__n_estimators': 147, 'clf__subsample': np.float64(0.6281833256741867)}",0.6083333333333334,0.6080645005131149,0.6208804016270038
3,top+1,SVM_RBF,525.0,"['V191', 'V176', 'V380']","{'clf__C': np.float64(6.393794237097354), 'clf__gamma': np.float64(0.016644299518966215)}",0.605,0.6041544392988506,0.6614094506054241
3,top,RandomForest,525.0,"['V255', 'V191', 'V176']","{'clf__max_depth': 5, 'clf__min_samples_leaf': 9, 'clf__n_estimators': 367}",0.6143333333333333,0.6138940053613425,0.6382958663440496
3,top+2,SVM_RBF,500.0,"['V176', 'V380', 'V160']","{'clf__C': np.float64(0.41924993150460804), 'clf__gamma': np.float64(0.21971482785470117)}",0.5906666666666666,0.5903087291485646,0.6051922018200071
3,rand_2,RandomForest,500.0,"[np.str_('V176'), np.str_('V416'), np.str_('V224')]","{'clf__max_depth': 4, 'clf__min_samples_leaf': 9, 'clf__n_estimators': 403}",0.591,0.5905315179441203,0.6110659827588631
3,top,LightGBM,495.0,"['V255', 'V191', 'V176']","{'clf__learning_rate': np.float64(0.018618814067432626), 'clf__max_depth': 6, 'clf__n_estimators': 484, 'clf__num_leaves': 15, 'clf__subsample': np.float64(0.8804927450629726)}",0.5916666666666667,0.5914880894186193,0.5972432255812316
3,top+1,GradientBoosting,495.0,"['V191', 'V176', 'V380']","{'clf__learning_rate': np.float64(0.018618814067432626), 'clf__max_depth': 2, 'clf__n_estimators': 164, 'clf__subsample': np.float64(0.8804927450629726)}",0.6046666666666667,0.6041204471419447,0.6336767213772562
3,top+2,ExtraTrees,490.0,"['V176', 'V380', 'V160']","{'clf__max_depth': 8, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 323}",0.601,0.6004543030538971,0.6295999710451786
3,top+2,XGBoost,470.0,"['V176', 'V380', 'V160']","{'clf__colsample_bytree': np.float64(0.7655331788949136), 'clf__learning_rate': np.float64(0.02651034264899119), 'clf__max_depth': 5, 'clf__n_estimators': 238, 'clf__subsample': np.float64(0.8612364919499478)}",0.5963333333333334,0.5960128343080806,0.6107062495712424
3,rand_2,GradientBoosting,465.0,"[np.str_('V176'), np.str_('V416'), np.str_('V224')]","{'clf__learning_rate': np.float64(0.034607386039615676), 'clf__max_depth': 3, 'clf__n_estimators': 138, 'clf__subsample': np.float64(0.8612364919499478)}",0.5976666666666667,0.5972809862565849,0.6141307302892823
3,top+2,LightGBM,465.0,"['V176', 'V380', 'V160']","{'clf__learning_rate': np.float64(0.05501111167975336), 'clf__max_depth': 4, 'clf__n_estimators': 247, 'clf__num_leaves': 27, 'clf__subsample': np.float64(0.9394734067154433)}",0.5943333333333333,0.5940787972966034,0.6043293824945785
