k,kind,model,cv_score,features,best_params,accuracy,balanced_accuracy,precision
3,top,ExtraTrees,580.0,"['V255', 'V191', 'V176']","{'clf__max_depth': 6, 'clf__min_samples_leaf': 2, 'clf__n_estimators': 238}",0.611,0.6105212246080194,0.6374468480806134
3,top+2,XGBoost,570.0,"['V176', 'V380', 'V160']","{'clf__colsample_bytree': np.float64(0.7420988439976136), 'clf__learning_rate': np.float64(0.0108576321750405), 'clf__max_depth': 6, 'clf__n_estimators': 215, 'clf__subsample': np.float64(0.7323701126489202)}",0.5926666666666666,0.5922594801224915,0.610766905056919
3,top,GradientBoosting,565.0,"['V255', 'V191', 'V176']","{'clf__learning_rate': np.float64(0.012447420336780599), 'clf__max_depth': 2, 'clf__n_estimators': 362, 'clf__subsample': np.float64(0.7694648776168372)}",0.6143333333333333,0.6139860208874303,0.6320445870817312
3,top,RandomForest,560.0,"['V255', 'V191', 'V176']","{'clf__max_depth': 6, 'clf__min_samples_leaf': 2, 'clf__n_estimators': 238}",0.6176666666666666,0.6172387451045492,0.6411386962218535
3,top,SVM_RBF,560.0,"['V255', 'V191', 'V176']","{'clf__C': np.float64(0.23522021535538676), 'clf__gamma': np.float64(0.41659447770210534)}",0.6123333333333333,0.6118405978920035,0.639094710480173
3,top+2,RandomForest,560.0,"['V176', 'V380', 'V160']","{'clf__max_depth': 5, 'clf__min_samples_leaf': 9, 'clf__n_estimators': 367}",0.6,0.5995223152897369,0.6236387520525452
3,top+2,GradientBoosting,555.0,"['V176', 'V380', 'V160']","{'clf__learning_rate': np.float64(0.012447420336780599), 'clf__max_depth': 2, 'clf__n_estimators': 362, 'clf__subsample': np.float64(0.7694648776168372)}",0.6006666666666666,0.6002623410239821,0.6194051261226227
3,rand_2,ExtraTrees,555.0,"[np.str_('V176'), np.str_('V416'), np.str_('V224')]","{'clf__max_depth': 9, 'clf__min_samples_leaf': 16, 'clf__n_estimators': 276}",0.595,0.5944882545454777,0.6195949572158496
3,top+1,ExtraTrees,550.0,"['V191', 'V176', 'V380']","{'clf__max_depth': 4, 'clf__min_samples_leaf': 9, 'clf__n_estimators': 403}",0.6086666666666666,0.6079978293395856,0.6500544730289198
3,top,XGBoost,545.0,"['V255', 'V191', 'V176']","{'clf__colsample_bytree': np.float64(0.7694648776168372), 'clf__learning_rate': np.float64(0.018707545279571126), 'clf__max_depth': 4, 'clf__n_estimators': 416, 'clf__subsample': np.float64(0.7363207269058605)}",0.6043333333333334,0.6040784034410298,0.6152955704035478
3,rand_2,SVM_RBF,540.0,"[np.str_('V176'), np.str_('V416'), np.str_('V224')]","{'clf__C': np.float64(0.41924993150460804), 'clf__gamma': np.float64(0.21971482785470117)}",0.6003333333333333,0.5999737431157238,0.6159907648095743
3,top+1,SVM_RBF,530.0,"['V191', 'V176', 'V380']","{'clf__C': np.float64(83.01235711169913), 'clf__gamma': np.float64(0.001761619320235845)}",0.5996666666666667,0.5986443163222963,0.6737853894233664
3,top+2,ExtraTrees,530.0,"['V176', 'V380', 'V160']","{'clf__max_depth': 8, 'clf__min_samples_leaf': 7, 'clf__n_estimators': 234}",0.5976666666666666,0.5971409567884666,0.6235056683859875
3,top+1,RandomForest,530.0,"['V191', 'V176', 'V380']","{'clf__max_depth': 4, 'clf__min_samples_leaf': 9, 'clf__n_estimators': 403}",0.6,0.5994296922493921,0.629241166436584
3,rand_2,RandomForest,520.0,"[np.str_('V176'), np.str_('V416'), np.str_('V224')]","{'clf__max_depth': 5, 'clf__min_samples_leaf': 11, 'clf__n_estimators': 385}",0.5966666666666667,0.5962049555462744,0.6179100591189407
3,top,LightGBM,515.0,"['V255', 'V191', 'V176']","{'clf__learning_rate': np.float64(0.044329708245908296), 'clf__max_depth': 5, 'clf__n_estimators': 225, 'clf__num_leaves': 58, 'clf__subsample': np.float64(0.7864155497496417)}",0.5910000000000001,0.5907860444913541,0.5980161038152096
3,top+2,SVM_RBF,515.0,"['V176', 'V380', 'V160']","{'clf__C': np.float64(4.721229607750618), 'clf__gamma': np.float64(0.06832788177059916)}",0.598,0.5975369240825377,0.6204449673926419
3,top+1,GradientBoosting,510.0,"['V191', 'V176', 'V380']","{'clf__learning_rate': np.float64(0.012447420336780599), 'clf__max_depth': 2, 'clf__n_estimators': 362, 'clf__subsample': np.float64(0.7694648776168372)}",0.6043333333333334,0.6038557708935989,0.628474710721527
3,top+2,LightGBM,490.0,"['V176', 'V380', 'V160']","{'clf__learning_rate': np.float64(0.011979639074434058), 'clf__max_depth': 4, 'clf__n_estimators': 415, 'clf__num_leaves': 61, 'clf__subsample': np.float64(0.8714226754962524)}",0.5943333333333333,0.5938928656175965,0.6142995739534641
3,top+1,XGBoost,490.0,"['V191', 'V176', 'V380']","{'clf__colsample_bytree': np.float64(0.7648277835860277), 'clf__learning_rate': np.float64(0.01723516600205961), 'clf__max_depth': 3, 'clf__n_estimators': 230, 'clf__subsample': np.float64(0.6904253682679529)}",0.6016666666666667,0.6012923506372221,0.6183817909968274
3,rand_2,GradientBoosting,485.0,"[np.str_('V176'), np.str_('V416'), np.str_('V224')]","{'clf__learning_rate': np.float64(0.01723516600205961), 'clf__max_depth': 2, 'clf__n_estimators': 130, 'clf__subsample': np.float64(0.6904253682679529)}",0.601,0.6006130929855487,0.6181978023560365
3,rand_2,XGBoost,485.0,"[np.str_('V176'), np.str_('V416'), np.str_('V224')]","{'clf__colsample_bytree': np.float64(0.9771170310658897), 'clf__learning_rate': np.float64(0.018968367710792175), 'clf__max_depth': 4, 'clf__n_estimators': 267, 'clf__subsample': np.float64(0.6482976441389584)}",0.6023333333333333,0.6020151501530472,0.6160936494317938
