k,kind,model,cv_score,features,best_params,accuracy,balanced_accuracy,precision
2,rand_1,GradientBoosting,665.0,"[np.str_('V191'), np.str_('V416')]","{'clf__learning_rate': np.float64(0.018618814067432626), 'clf__max_depth': 2, 'clf__n_estimators': 164, 'clf__subsample': np.float64(0.8804927450629726)}",0.586,0.5853445418510178,0.6215371261773318
2,rand_1,RandomForest,665.0,"[np.str_('V191'), np.str_('V416')]","{'clf__max_depth': 4, 'clf__min_samples_leaf': 9, 'clf__n_estimators': 403}",0.59,0.5892586629990629,0.6313399247061408
2,top,RandomForest,655.0,"['V255', 'V191']","{'clf__max_depth': 8, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 323}",0.5646666666666667,0.5639759589850171,0.5918093966733462
2,rand_1,SVM_RBF,655.0,"[np.str_('V191'), np.str_('V416')]","{'clf__C': np.float64(0.23522021535538676), 'clf__gamma': np.float64(0.41659447770210534)}",0.5950000000000001,0.5942527759593935,0.638740816172073
2,top+1,XGBoost,655.0,"['V191', 'V176']","{'clf__colsample_bytree': np.float64(0.7648277835860277), 'clf__learning_rate': np.float64(0.01723516600205961), 'clf__max_depth': 3, 'clf__n_estimators': 230, 'clf__subsample': np.float64(0.6904253682679529)}",0.5736666666666667,0.5732042292017528,0.5920397048135658
2,rand_1,LightGBM,655.0,"[np.str_('V191'), np.str_('V416')]","{'clf__learning_rate': np.float64(0.011979639074434058), 'clf__max_depth': 4, 'clf__n_estimators': 415, 'clf__num_leaves': 61, 'clf__subsample': np.float64(0.8714226754962524)}",0.5783333333333333,0.577783747744746,0.6014379619672189
2,top+2,RandomForest,645.0,"['V176', 'V380']","{'clf__max_depth': 6, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 383}",0.5843333333333333,0.5838871341039877,0.6074148969555104
2,top,GradientBoosting,645.0,"['V255', 'V191']","{'clf__learning_rate': np.float64(0.018707545279571126), 'clf__max_depth': 3, 'clf__n_estimators': 316, 'clf__subsample': np.float64(0.7363207269058605)}",0.5706666666666668,0.5701801534288878,0.5891041730383372
2,top,XGBoost,640.0,"['V255', 'V191']","{'clf__colsample_bytree': np.float64(0.7648277835860277), 'clf__learning_rate': np.float64(0.01723516600205961), 'clf__max_depth': 3, 'clf__n_estimators': 230, 'clf__subsample': np.float64(0.6904253682679529)}",0.5696666666666667,0.5690947885158709,0.5910960912988007
2,rand_1,ExtraTrees,640.0,"[np.str_('V191'), np.str_('V416')]","{'clf__max_depth': 9, 'clf__min_samples_leaf': 9, 'clf__n_estimators': 295}",0.588,0.5872898917760934,0.62643918512182
2,top+1,RandomForest,640.0,"['V191', 'V176']","{'clf__max_depth': 9, 'clf__min_samples_leaf': 9, 'clf__n_estimators': 295}",0.567,0.5665500758669455,0.5830586925450036
2,top+1,LightGBM,635.0,"['V191', 'V176']","{'clf__learning_rate': np.float64(0.011979639074434058), 'clf__max_depth': 4, 'clf__n_estimators': 415, 'clf__num_leaves': 61, 'clf__subsample': np.float64(0.8714226754962524)}",0.5623333333333335,0.561896007868757,0.5751745232159983
2,top+1,GradientBoosting,635.0,"['V191', 'V176']","{'clf__learning_rate': np.float64(0.05501111167975336), 'clf__max_depth': 3, 'clf__n_estimators': 147, 'clf__subsample': np.float64(0.6281833256741867)}",0.5613333333333334,0.5609552935761557,0.572712596717482
2,top+1,SVM_RBF,635.0,"['V191', 'V176']","{'clf__C': np.float64(6.393794237097354), 'clf__gamma': np.float64(0.016644299518966215)}",0.5853333333333334,0.5842419448792769,0.6552646850238634
2,top+1,ExtraTrees,630.0,"['V191', 'V176']","{'clf__max_depth': 5, 'clf__min_samples_leaf': 11, 'clf__n_estimators': 385}",0.586,0.5853811619152399,0.6162680313859994
2,top+2,SVM_RBF,625.0,"['V176', 'V380']","{'clf__C': np.float64(4.721229607750618), 'clf__gamma': np.float64(0.06832788177059916)}",0.5793333333333334,0.5787684355132761,0.6017409289501632
2,top+2,ExtraTrees,625.0,"['V176', 'V380']","{'clf__max_depth': 8, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 323}",0.5856666666666667,0.5851705330799953,0.6085937315844091
2,top,ExtraTrees,625.0,"['V255', 'V191']","{'clf__max_depth': 8, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 323}",0.576,0.5754062820752339,0.5999826624177818
2,top+2,GradientBoosting,615.0,"['V176', 'V380']","{'clf__learning_rate': np.float64(0.08612990916378668), 'clf__max_depth': 2, 'clf__n_estimators': 187, 'clf__subsample': np.float64(0.7185652978509862)}",0.5696666666666667,0.5694509033643046,0.5748002215945097
2,top+1,LogRegl2,605.0,"['V191', 'V176']",{'clf__C': np.float64(0.041924993150460804)},0.559,0.558951250097716,0.5586741717123602
2,top,SVM_RBF,605.0,"['V255', 'V191']","{'clf__C': np.float64(4.721229607750618), 'clf__gamma': np.float64(0.06832788177059916)}",0.5766666666666667,0.5760916927241929,0.5990642301787749
2,top+1,LogRegl1,605.0,"['V191', 'V176']",{'clf__C': np.float64(2.197148278547012)},0.5583333333333333,0.5582899061828798,0.5577639869250083
2,rand_1,XGBoost,605.0,"[np.str_('V191'), np.str_('V416')]","{'clf__colsample_bytree': np.float64(0.7648277835860277), 'clf__learning_rate': np.float64(0.01723516600205961), 'clf__max_depth': 3, 'clf__n_estimators': 230, 'clf__subsample': np.float64(0.6904253682679529)}",0.58,0.579506456828626,0.6024382432348252
2,top+2,LightGBM,595.0,"['V176', 'V380']","{'clf__learning_rate': np.float64(0.011979639074434058), 'clf__max_depth': 4, 'clf__n_estimators': 415, 'clf__num_leaves': 61, 'clf__subsample': np.float64(0.8714226754962524)}",0.578,0.5776336204715475,0.5930412776661881
2,top,LightGBM,580.0,"['V255', 'V191']","{'clf__learning_rate': np.float64(0.011979639074434058), 'clf__max_depth': 4, 'clf__n_estimators': 415, 'clf__num_leaves': 61, 'clf__subsample': np.float64(0.8714226754962524)}",0.5599999999999999,0.5595125366762946,0.5766857877289543
2,top+2,XGBoost,570.0,"['V176', 'V380']","{'clf__colsample_bytree': np.float64(0.7648277835860277), 'clf__learning_rate': np.float64(0.01723516600205961), 'clf__max_depth': 3, 'clf__n_estimators': 230, 'clf__subsample': np.float64(0.6904253682679529)}",0.577,0.5765630423861038,0.5934916977543706
2,rand_2,SVM_RBF,535.0,"[np.str_('V160'), np.str_('V212')]","{'clf__C': np.float64(0.41924993150460804), 'clf__gamma': np.float64(0.21971482785470117)}",0.5566666666666666,0.5553078673105761,0.6345695837843669
2,rand_0,SVM_RBF,520.0,"[np.str_('V416'), np.str_('V377')]","{'clf__C': np.float64(0.29274829231169025), 'clf__gamma': np.float64(0.3604693586675808)}",0.5676666666666667,0.5668101167489216,0.6124391142886009
2,rand_0,GradientBoosting,510.0,"[np.str_('V416'), np.str_('V377')]","{'clf__learning_rate': np.float64(0.012447420336780599), 'clf__max_depth': 2, 'clf__n_estimators': 362, 'clf__subsample': np.float64(0.7694648776168372)}",0.5630000000000001,0.5623940072097694,0.5829204981717431
2,rand_1,LogRegl1,505.0,"[np.str_('V191'), np.str_('V416')]",{'clf__C': np.float64(0.09469755543803382)},0.5379999999999999,0.5378774192573174,0.5385936353102487
2,rand_0,ExtraTrees,500.0,"[np.str_('V416'), np.str_('V377')]","{'clf__max_depth': 4, 'clf__min_samples_leaf': 9, 'clf__n_estimators': 403}",0.5626666666666668,0.5618893109071856,0.5914647047697316
2,rand_2,ExtraTrees,495.0,"[np.str_('V160'), np.str_('V212')]","{'clf__max_depth': 4, 'clf__min_samples_leaf': 2, 'clf__n_estimators': 564}",0.561,0.5601619956051181,0.5919381023613743
2,rand_1,LogRegl2,495.0,"[np.str_('V191'), np.str_('V416')]",{'clf__C': np.float64(2.197148278547012)},0.535,0.5348973850705895,0.5349665976479412
2,top,LogRegl2,475.0,"['V255', 'V191']",{'clf__C': np.float64(0.041924993150460804)},0.5443333333333333,0.5442464073156944,0.5435987707383629
2,top,LogRegl1,475.0,"['V255', 'V191']",{'clf__C': np.float64(2.197148278547012)},0.5443333333333333,0.5442490740250284,0.543541017998472
2,rand_0,RandomForest,470.0,"[np.str_('V416'), np.str_('V377')]","{'clf__max_depth': 4, 'clf__min_samples_leaf': 9, 'clf__n_estimators': 403}",0.5646666666666667,0.5638801034832529,0.5966053185554898
2,rand_2,GradientBoosting,460.0,"[np.str_('V160'), np.str_('V212')]","{'clf__learning_rate': np.float64(0.018618814067432626), 'clf__max_depth': 2, 'clf__n_estimators': 164, 'clf__subsample': np.float64(0.8804927450629726)}",0.5493333333333333,0.5487016819420755,0.5669534722942869
2,rand_2,RandomForest,455.0,"[np.str_('V160'), np.str_('V212')]","{'clf__max_depth': 4, 'clf__min_samples_leaf': 2, 'clf__n_estimators': 564}",0.5573333333333333,0.5564851978537529,0.5901728054926506
2,rand_2,XGBoost,435.0,"[np.str_('V160'), np.str_('V212')]","{'clf__colsample_bytree': np.float64(0.7648277835860277), 'clf__learning_rate': np.float64(0.01723516600205961), 'clf__max_depth': 3, 'clf__n_estimators': 230, 'clf__subsample': np.float64(0.6904253682679529)}",0.5460000000000002,0.5455828864118376,0.5542648723776379
2,rand_0,XGBoost,435.0,"[np.str_('V416'), np.str_('V377')]","{'clf__colsample_bytree': np.float64(0.7648277835860277), 'clf__learning_rate': np.float64(0.01723516600205961), 'clf__max_depth': 3, 'clf__n_estimators': 230, 'clf__subsample': np.float64(0.6904253682679529)}",0.5579999999999999,0.5575105635668461,0.5718409886588955
2,rand_0,LightGBM,430.0,"[np.str_('V416'), np.str_('V377')]","{'clf__learning_rate': np.float64(0.018968367710792175), 'clf__max_depth': 4, 'clf__n_estimators': 267, 'clf__num_leaves': 35, 'clf__subsample': np.float64(0.664083523552488)}",0.5536666666666666,0.5531765147428036,0.5666237965496416
2,top+2,LogRegl1,430.0,"['V176', 'V380']",{'clf__C': np.float64(0.041924993150460804)},0.5453333333333333,0.5452249163789354,0.5456022414239212
2,top+2,LogRegl2,390.0,"['V176', 'V380']",{'clf__C': np.float64(0.041924993150460804)},0.544,0.5439575963830257,0.5427240628051987
2,rand_2,LightGBM,375.0,"[np.str_('V160'), np.str_('V212')]","{'clf__learning_rate': np.float64(0.018968367710792175), 'clf__max_depth': 4, 'clf__n_estimators': 267, 'clf__num_leaves': 35, 'clf__subsample': np.float64(0.664083523552488)}",0.5473333333333333,0.5469595679984872,0.5532095784739849
2,rand_2,LogRegl1,335.0,"[np.str_('V160'), np.str_('V212')]",{'clf__C': np.float64(0.09469755543803382)},0.515,0.5146817311535633,0.5149146024075011
2,rand_0,LogRegl1,320.0,"[np.str_('V416'), np.str_('V377')]",{'clf__C': np.float64(0.09469755543803382)},0.5206666666666667,0.520265069750621,0.5268196805591504
2,rand_2,LogRegl2,320.0,"[np.str_('V160'), np.str_('V212')]",{'clf__C': np.float64(0.041924993150460804)},0.5126666666666667,0.5124350168057114,0.5114982831896201
2,rand_0,LogRegl2,305.0,"[np.str_('V416'), np.str_('V377')]",{'clf__C': np.float64(0.041924993150460804)},0.5193333333333333,0.5190470439553145,0.5222426604502076
